Cycle:    98368, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98369, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98370, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98371, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98372, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98373, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98374, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98375, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98376, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98377, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98378, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98379, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98380, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98381, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98382, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98383, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98384, Time:  1.743E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98385, Time:  1.744E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98386, Time:  1.744E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98387, Time:  1.744E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98388, Time:  1.744E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98389, Time:  1.744E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98390, Time:  1.744E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98391, Time:  1.744E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98392, Time:  1.744E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98393, Time:  1.744E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98394, Time:  1.744E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98395, Time:  1.744E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98396, Time:  1.744E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
Cycle:    98397, Time:  1.744E-03s, Time Inc.: 1.772E-08s, Progress:   4.36%, Est. Clock Time Remaining:  127.3 hrs
