Checking model setup.....Please wait                                                                                                                                                                                                                            
Generating External Faces ...... please wait                                                                                                                                                                                                                    
Initializing.....Please wait                                                                                                                                                                                                                                    
Finished model setup.....                                                                                                                                                                                                                                       
Initializing workers....                                                                                                                                                                                                                                        
Cycle:        0, Time:  0.000E+00s, Progress:   0.00%, Time Inc.: 2.712E-09s @ element   32704 in Part Part 4 Est. Clock Time Remaining: -         

Parallel model running on the following machines;

-----------------------------------------------------------------------
|    MACHINE NAME                  |     MASTER     |    WORKER(S)    |
-----------------------------------------------------------------------
|    DESKTOP-HRPNB5U               |        1       |        2        |
-----------------------------------------------------------------------

Cycle:        1, Time:  2.983E-09s, Progress:   0.00%, Time Inc.: 2.983E-09s @ element   23363 in Part Part 3 Est. Clock Time Remaining: -         
Cycle:        2, Time:  6.265E-09s, Progress:   0.00%, Time Inc.: 3.281E-09s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:        3, Time:  9.874E-09s, Progress:   0.00%, Time Inc.: 3.610E-09s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:        4, Time:  1.384E-08s, Progress:   0.00%, Time Inc.: 3.971E-09s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:        5, Time:  1.821E-08s, Progress:   0.00%, Time Inc.: 4.368E-09s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:        6, Time:  2.302E-08s, Progress:   0.00%, Time Inc.: 4.804E-09s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:        7, Time:  2.830E-08s, Progress:   0.00%, Time Inc.: 5.285E-09s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:        8, Time:  3.411E-08s, Progress:   0.00%, Time Inc.: 5.813E-09s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:        9, Time:  4.051E-08s, Progress:   0.00%, Time Inc.: 6.395E-09s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       10, Time:  4.754E-08s, Progress:   0.00%, Time Inc.: 7.034E-09s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       11, Time:  5.528E-08s, Progress:   0.00%, Time Inc.: 7.738E-09s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       12, Time:  6.379E-08s, Progress:   0.00%, Time Inc.: 8.511E-09s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       13, Time:  7.315E-08s, Progress:   0.00%, Time Inc.: 9.362E-09s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       14, Time:  8.345E-08s, Progress:   0.00%, Time Inc.: 1.030E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       15, Time:  9.478E-08s, Progress:   0.00%, Time Inc.: 1.133E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       16, Time:  1.072E-07s, Progress:   0.00%, Time Inc.: 1.246E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       17, Time:  1.210E-07s, Progress:   0.00%, Time Inc.: 1.371E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       18, Time:  1.360E-07s, Progress:   0.00%, Time Inc.: 1.508E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       19, Time:  1.526E-07s, Progress:   0.00%, Time Inc.: 1.659E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       20, Time:  1.703E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       21, Time:  1.881E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       22, Time:  2.058E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       23, Time:  2.235E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       24, Time:  2.412E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       25, Time:  2.590E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       26, Time:  2.767E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       27, Time:  2.944E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       28, Time:  3.121E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       29, Time:  3.298E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       30, Time:  3.476E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       31, Time:  3.653E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       32, Time:  3.830E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       33, Time:  4.007E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       34, Time:  4.185E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
Cycle:       35, Time:  4.362E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: ****** hrs
