Cycle:     6130, Time:  1.085E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6103.3 hrs
Cycle:     6131, Time:  1.085E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6103.2 hrs
Cycle:     6132, Time:  1.085E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6103.1 hrs
Cycle:     6133, Time:  1.085E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6103.0 hrs
Cycle:     6134, Time:  1.085E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6103.0 hrs
Cycle:     6135, Time:  1.085E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.9 hrs
Cycle:     6136, Time:  1.086E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.8 hrs
Cycle:     6137, Time:  1.086E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.7 hrs
Cycle:     6138, Time:  1.086E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.6 hrs
Cycle:     6139, Time:  1.086E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.7 hrs
Cycle:     6140, Time:  1.086E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.8 hrs
Cycle:     6141, Time:  1.087E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.8 hrs
Cycle:     6142, Time:  1.087E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.6 hrs
Cycle:     6143, Time:  1.087E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.5 hrs
Cycle:     6144, Time:  1.087E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.4 hrs
Cycle:     6145, Time:  1.087E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.4 hrs
Cycle:     6146, Time:  1.087E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.3 hrs
Cycle:     6147, Time:  1.088E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.2 hrs
Cycle:     6148, Time:  1.088E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.1 hrs
Cycle:     6149, Time:  1.088E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6101.9 hrs
Cycle:     6150, Time:  1.088E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6101.8 hrs
Cycle:     6151, Time:  1.088E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.1 hrs
Cycle:     6152, Time:  1.088E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.0 hrs
Cycle:     6153, Time:  1.089E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6101.9 hrs
Cycle:     6154, Time:  1.089E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6101.8 hrs
Cycle:     6155, Time:  1.089E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6101.8 hrs
Cycle:     6156, Time:  1.089E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6101.7 hrs
Cycle:     6157, Time:  1.089E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6101.8 hrs
Cycle:     6158, Time:  1.090E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6101.7 hrs
Cycle:     6159, Time:  1.090E-04s, Time Inc.: 1.772E-08s, Progress:   0.01%, Est. Clock Time Remaining: 6102.3 hrs
