Cycle:    34740, Time:  6.155E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34741, Time:  6.155E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34742, Time:  6.156E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34743, Time:  6.156E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34744, Time:  6.156E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34745, Time:  6.156E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34746, Time:  6.156E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34747, Time:  6.156E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34748, Time:  6.157E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34749, Time:  6.157E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34750, Time:  6.157E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34751, Time:  6.157E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34752, Time:  6.157E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34753, Time:  6.157E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34754, Time:  6.158E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34755, Time:  6.158E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34756, Time:  6.158E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34757, Time:  6.158E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34758, Time:  6.158E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34759, Time:  6.159E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34760, Time:  6.159E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34761, Time:  6.159E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34762, Time:  6.159E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34763, Time:  6.159E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34764, Time:  6.159E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34765, Time:  6.160E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34766, Time:  6.160E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34767, Time:  6.160E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34768, Time:  6.160E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
Cycle:    34769, Time:  6.160E-04s, Time Inc.: 1.772E-08s, Progress:   0.03%, Est. Clock Time Remaining: ****** hrs
