Checking model setup.....Please wait                                                                                                                                                                                                                            
Generating External Faces ...... please wait                                                                                                                                                                                                                    
Initializing.....Please wait                                                                                                                                                                                                                                    
Finished model setup.....                                                                                                                                                                                                                                       
Initializing workers....                                                                                                                                                                                                                                        
Cycle:        0, Time:  0.000E+00s, Progress:   0.00%, Time Inc.: 2.556E-09s @ element   28922 in Part Part 4 Est. Clock Time Remaining: -         

Parallel model running on the following machines;

-----------------------------------------------------------------------
|    MACHINE NAME                  |     MASTER     |    WORKER(S)    |
-----------------------------------------------------------------------
|    DESKTOP-HRPNB5U               |        1       |        2        |
-----------------------------------------------------------------------

Cycle:        1, Time:  2.812E-09s, Progress:   0.00%, Time Inc.: 2.812E-09s @ element    9649 in Part Part 5 Est. Clock Time Remaining: -         
Cycle:        2, Time:  5.905E-09s, Progress:   0.00%, Time Inc.: 3.093E-09s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   74.1 hrs
Cycle:        3, Time:  9.308E-09s, Progress:   0.00%, Time Inc.: 3.403E-09s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   52.1 hrs
Cycle:        4, Time:  1.305E-08s, Progress:   0.00%, Time Inc.: 3.743E-09s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   40.8 hrs
Cycle:        5, Time:  1.717E-08s, Progress:   0.00%, Time Inc.: 4.117E-09s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   33.7 hrs
Cycle:        6, Time:  2.170E-08s, Progress:   0.00%, Time Inc.: 4.529E-09s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   28.6 hrs
Cycle:        7, Time:  2.668E-08s, Progress:   0.00%, Time Inc.: 4.982E-09s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   25.0 hrs
Cycle:        8, Time:  3.216E-08s, Progress:   0.00%, Time Inc.: 5.480E-09s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   22.3 hrs
Cycle:        9, Time:  3.819E-08s, Progress:   0.00%, Time Inc.: 6.028E-09s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   19.9 hrs
Cycle:       10, Time:  4.482E-08s, Progress:   0.00%, Time Inc.: 6.631E-09s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   18.0 hrs
Cycle:       11, Time:  5.211E-08s, Progress:   0.01%, Time Inc.: 7.294E-09s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   16.4 hrs
Cycle:       12, Time:  6.013E-08s, Progress:   0.01%, Time Inc.: 8.023E-09s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   15.0 hrs
Cycle:       13, Time:  6.896E-08s, Progress:   0.01%, Time Inc.: 8.826E-09s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   14.0 hrs
Cycle:       14, Time:  7.867E-08s, Progress:   0.01%, Time Inc.: 9.708E-09s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   12.9 hrs
Cycle:       15, Time:  8.935E-08s, Progress:   0.01%, Time Inc.: 1.068E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   12.0 hrs
Cycle:       16, Time:  1.011E-07s, Progress:   0.01%, Time Inc.: 1.175E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   11.1 hrs
Cycle:       17, Time:  1.140E-07s, Progress:   0.01%, Time Inc.: 1.292E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:   10.2 hrs
Cycle:       18, Time:  1.282E-07s, Progress:   0.01%, Time Inc.: 1.421E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    9.5 hrs
Cycle:       19, Time:  1.439E-07s, Progress:   0.01%, Time Inc.: 1.564E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    8.8 hrs
Cycle:       20, Time:  1.607E-07s, Progress:   0.02%, Time Inc.: 1.684E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    8.2 hrs
Cycle:       21, Time:  1.775E-07s, Progress:   0.02%, Time Inc.: 1.684E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    7.7 hrs
Cycle:       22, Time:  1.944E-07s, Progress:   0.02%, Time Inc.: 1.684E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    7.2 hrs
Cycle:       23, Time:  2.112E-07s, Progress:   0.02%, Time Inc.: 1.684E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    6.9 hrs
Cycle:       24, Time:  2.281E-07s, Progress:   0.02%, Time Inc.: 1.684E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    6.7 hrs
Cycle:       25, Time:  2.449E-07s, Progress:   0.02%, Time Inc.: 1.684E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    6.4 hrs
Cycle:       26, Time:  2.618E-07s, Progress:   0.03%, Time Inc.: 1.684E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    6.1 hrs
Cycle:       27, Time:  2.786E-07s, Progress:   0.03%, Time Inc.: 1.684E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    5.9 hrs
Cycle:       28, Time:  2.954E-07s, Progress:   0.03%, Time Inc.: 1.684E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    5.7 hrs
Cycle:       29, Time:  3.123E-07s, Progress:   0.03%, Time Inc.: 1.684E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    5.6 hrs
Cycle:       30, Time:  3.291E-07s, Progress:   0.03%, Time Inc.: 1.684E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    5.5 hrs
Cycle:       31, Time:  3.460E-07s, Progress:   0.03%, Time Inc.: 1.684E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    5.3 hrs
Cycle:       32, Time:  3.628E-07s, Progress:   0.04%, Time Inc.: 1.684E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    5.2 hrs
Cycle:       33, Time:  3.797E-07s, Progress:   0.04%, Time Inc.: 1.684E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    5.1 hrs
Cycle:       34, Time:  3.965E-07s, Progress:   0.04%, Time Inc.: 1.684E-08s @ element    9649 in Part Part 5 Est. Clock Time Remaining:    5.0 hrs
