Cycle:     5227, Time:  8.786E-05s, Time Inc.: 1.684E-08s, Progress:   8.79%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5228, Time:  8.788E-05s, Time Inc.: 1.684E-08s, Progress:   8.79%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5229, Time:  8.789E-05s, Time Inc.: 1.684E-08s, Progress:   8.79%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5230, Time:  8.791E-05s, Time Inc.: 1.684E-08s, Progress:   8.79%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5231, Time:  8.793E-05s, Time Inc.: 1.684E-08s, Progress:   8.79%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5232, Time:  8.794E-05s, Time Inc.: 1.684E-08s, Progress:   8.79%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5233, Time:  8.796E-05s, Time Inc.: 1.684E-08s, Progress:   8.80%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5234, Time:  8.798E-05s, Time Inc.: 1.684E-08s, Progress:   8.80%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5235, Time:  8.799E-05s, Time Inc.: 1.684E-08s, Progress:   8.80%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5236, Time:  8.801E-05s, Time Inc.: 1.684E-08s, Progress:   8.80%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5237, Time:  8.803E-05s, Time Inc.: 1.684E-08s, Progress:   8.80%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5238, Time:  8.805E-05s, Time Inc.: 1.684E-08s, Progress:   8.80%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5239, Time:  8.806E-05s, Time Inc.: 1.684E-08s, Progress:   8.81%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5240, Time:  8.808E-05s, Time Inc.: 1.684E-08s, Progress:   8.81%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5241, Time:  8.810E-05s, Time Inc.: 1.684E-08s, Progress:   8.81%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5242, Time:  8.811E-05s, Time Inc.: 1.684E-08s, Progress:   8.81%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5243, Time:  8.813E-05s, Time Inc.: 1.684E-08s, Progress:   8.81%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5244, Time:  8.815E-05s, Time Inc.: 1.684E-08s, Progress:   8.81%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5245, Time:  8.816E-05s, Time Inc.: 1.684E-08s, Progress:   8.82%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5246, Time:  8.818E-05s, Time Inc.: 1.684E-08s, Progress:   8.82%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5247, Time:  8.820E-05s, Time Inc.: 1.684E-08s, Progress:   8.82%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5248, Time:  8.821E-05s, Time Inc.: 1.684E-08s, Progress:   8.82%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5249, Time:  8.823E-05s, Time Inc.: 1.684E-08s, Progress:   8.82%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5250, Time:  8.825E-05s, Time Inc.: 1.684E-08s, Progress:   8.82%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5251, Time:  8.826E-05s, Time Inc.: 1.684E-08s, Progress:   8.83%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5252, Time:  8.828E-05s, Time Inc.: 1.684E-08s, Progress:   8.83%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5253, Time:  8.830E-05s, Time Inc.: 1.684E-08s, Progress:   8.83%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5254, Time:  8.831E-05s, Time Inc.: 1.684E-08s, Progress:   8.83%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5255, Time:  8.833E-05s, Time Inc.: 1.684E-08s, Progress:   8.83%, Est. Clock Time Remaining:    3.0 hrs
Cycle:     5256, Time:  8.835E-05s, Time Inc.: 1.684E-08s, Progress:   8.83%, Est. Clock Time Remaining:    3.0 hrs
