  AUTODYN log file for worker process #           1
 Degenerate element ERODED at cycle       19788           9495
 Element ERODED at cycle       19788           9495
 Degenerate element ERODED at cycle       19789          18691
 Element ERODED at cycle       19789          18691
 Degenerate element ERODED at cycle       19829          32602
 Element ERODED at cycle       19829          32602
 Degenerate element ERODED at cycle       20356          28120
 Element ERODED at cycle       20356          28120
 Degenerate element ERODED at cycle       20816          14636
 Element ERODED at cycle       20816          14636
 Degenerate element ERODED at cycle       21073          23872
 Element ERODED at cycle       21073          23872
 Degenerate element ERODED at cycle       21397           9776
 Element ERODED at cycle       21397           9776
 Degenerate element ERODED at cycle       21474          10100
 Element ERODED at cycle       21474          10100
 Degenerate element ERODED at cycle       21609          32844
 Element ERODED at cycle       21609          32844
 Degenerate element ERODED at cycle       21672          33166
 Element ERODED at cycle       21672          33166
 Degenerate element ERODED at cycle       22461          23018
 Element ERODED at cycle       22461          23018
 Degenerate element ERODED at cycle       23481          12946
 Element ERODED at cycle       23481          12946
 Degenerate element ERODED at cycle       23874          13226
 Element ERODED at cycle       23874          13226
 Degenerate element ERODED at cycle       24556          32005
 Element ERODED at cycle       24556          32005
 Degenerate element ERODED at cycle       24586          28503
 Element ERODED at cycle       24586          28503
 Degenerate element ERODED at cycle       24954          12394
 Element ERODED at cycle       24954          12394
 Degenerate element ERODED at cycle       27956          22990
 Element ERODED at cycle       27956          22990
 Degenerate element ERODED at cycle       28028          23484
 Element ERODED at cycle       28028          23484
 Degenerate element ERODED at cycle       29993           5035
 Element ERODED at cycle       29993           5035
 Degenerate element ERODED at cycle       31669          14649
 Element ERODED at cycle       31669          14649
 Degenerate element ERODED at cycle       32032          10580
 Element ERODED at cycle       32032          10580
 Degenerate element ERODED at cycle       32033          12276
 Element ERODED at cycle       32033          12276
